publicID,timestamp,probNum,energy,score
0044,20180723153255,FA002,5300778,3889
0180,20180723012939,FA002,5325704,3889
0050,20180723154432,FA002,5436412,3886
0019,20180723102423,FA002,5795264,3877
0115,20180723155008,FA002,5822532,3877
0031,20180723144148,FA002,5901868,3875
0106,20180723154336,FA002,6199912,3868
0145,20180723155717,FA002,6656472,3857
0080,20180723155417,FA002,6752664,3854
0165,20180723153848,FA002,6848644,3852
0120,20180723151559,FA002,7016608,3848
0017,20180723154847,FA002,7522136,3836
0184,20180723154301,FA002,7521004,3836
0079,20180723155330,FA002,7535524,3835
0179,20180723154358,FA002,7545028,3835
0022,20180723151615,FA002,7785348,3829
0042,20180721185323,FA002,7881404,3827
0168,20180723153751,FA002,8192004,3819
0046,20180723044609,FA002,8338144,3816
0147,20180723153032,FA002,8506016,3812
0182,20180723152816,FA002,8638878,3809
0142,20180723154422,FA002,8843604,3804
0072,20180723153320,FA002,9560652,3786
0069,20180723150932,FA002,9682948,3783
0173,20180723023324,FA002,9851068,3779
0048,20180723143753,FA002,10044850,3775
0144,20180723153516,FA002,10619808,3761
0132,20180723155737,FA002,10809096,3756
0074,20180723153607,FA002,11721416,3734
0130,20180723153439,FA002,11966380,3728
0158,20180723095059,FA002,12218262,3722
0159,20180721213933,FA002,13761880,3685
0006,20180723154348,FA002,13937838,3680
0131,20180723155642,FA002,14051908,3678
0096,20180723155456,FA002,14563218,3665
0154,20180723102945,FA002,14723556,3661
0164,20180723012316,FA002,14723156,3661
0091,20180723150300,FA002,14871556,3658
0160,20180723152650,FA002,15441912,3644
0053,20180723153554,FA002,16360920,3622
0183,20180723093537,FA002,16597408,3616
0023,20180723155950,FA002,17051604,3605
0049,20180723095517,FA002,17168248,3602
0169,20180723152757,FA002,17749060,3588
0127,20180723023247,FA002,17840496,3586
0181,20180723154411,FA002,18708624,3565
0047,20180723101152,FA002,20584500,3519
0027,20180723070658,FA002,20686570,3517
0114,20180723092504,FA002,22215100,3480
0029,20180723060713,FA002,23135732,3457
0086,20180723155935,FA002,23867984,3440
0105,20180723020528,FA002,28586726,3325
0067,20180723155728,FA002,35582204,3156
0185,20180723052809,FA002,38577786,3083
0088,20180723142702,FA002,41974944,3001
0108,20180723153123,FA002,42403544,2991
0116,20180723074448,FA002,45753954,2910
0089,20180723155626,FA002,46874040,2883
0033,20180723155926,FA002,55269034,2679
0136,20180723142634,FA002,62292300,2509
0117,20180723052339,FA002,69033160,2346
0002,20180723153731,FA002,74793144,2206
0113,20180721191826,FA002,81325220,2048
0112,20180723153458,FA002,84875104,1962
0015,20180723053956,FA002,88931276,1864
0004,20180723155005,FA002,98099164,1642
0177,20180722214835,FA002,103667732,1507
0110,20180723050816,FA002,124621300,999
0084,20180722223732,FA002,127021940,941
0034,20180723134814,FA002,147137200,454
0011,20180723155422,FA002,165905180,0
0024,20180723155922,FA002,165905180,0
0039,20180723155710,FA002,165905180,0
0052,20180723155343,FA002,165905180,0
0082,20180723125703,FA002,165905180,0
0103,20180723153601,FA002,165905180,0
0135,20180723120406,FA002,165905180,0
0037,20180723155547,FA003,638386,4000
0028,20180723154252,FA003,689844,3998
0013,20180723152137,FA003,866608,3993
0030,20180723152237,FA003,881282,3993
0170,20180723134726,FA003,959124,3990
0175,20180723155314,FA003,993564,3990
0123,20180723155522,FA003,1069042,3987
0140,20180723150949,FA003,1092536,3987
0044,20180723153255,FA003,1129858,3986
0107,20180723151456,FA003,1115292,3986
0059,20180723145840,FA003,1162848,3985
0036,20180723092837,FA003,1213160,3983
0005,20180723154315,FA003,1248058,3982
0090,20180723132637,FA003,1297358,3981
0062,20180723154940,FA003,1315530,3980
0067,20180723155728,FA003,1351138,3979
0073,20180723155649,FA003,1450362,3977
0085,20180723152918,FA003,1472580,3976
0099,20180723155515,FA003,1507908,3975
0121,20180723145919,FA003,1496656,3975
0012,20180723095148,FA003,1549588,3974
0156,20180723154403,FA003,1532234,3974
0137,20180723155709,FA003,1568910,3973
0155,20180723155605,FA003,1631104,3972
0161,20180723155834,FA003,1734336,3969
0006,20180723154348,FA003,1769954,3968
0093,20180723145453,FA003,1752720,3968
0096,20180723155456,FA003,1753070,3968
0178,20180723152435,FA003,1790992,3967
0100,20180723155813,FA003,1887808,3964
0079,20180723155330,FA003,1948664,3963
0182,20180723152816,FA003,1986058,3962
0023,20180723155950,FA003,2100752,3958
0086,20180723155935,FA003,2125318,3958
0168,20180723153751,FA003,2252972,3954
0048,20180723143753,FA003,2389450,3950
0180,20180723012939,FA003,2519280,3947
0111,20180723155357,FA003,2622564,3944
0050,20180723154432,FA003,2631516,3943
0007,20180723155932,FA003,2748990,3940
0031,20180723144148,FA003,2748912,3940
0053,20180723153554,FA003,2872758,3937
0072,20180723153320,FA003,2847158,3937
0148,20180723154445,FA003,2877738,3937
0115,20180723155008,FA003,3505708,3919
0142,20180723154422,FA003,3846340,3909
0089,20180723155626,FA003,4105600,3902
0120,20180723151559,FA003,4152960,3901
0147,20180723153032,FA003,4318056,3896
0019,20180723102423,FA003,4354808,3895
0158,20180723095059,FA003,4452982,3892
0128,20180723155635,FA003,4907332,3879
0017,20180723154847,FA003,5411684,3865
0029,20180723060713,FA003,6011900,3848
